datim_uid,period,partner,snu,psnu,sitename,latitude,longitude,indicator,value,pais
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,Recent Active TB TX,2,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,Recent Pos TB Screen,1,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,Actively on TPT,91,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,TX_CURR,473,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,TPT Candidates,361,Mocambique
QxSfgx5QfT7,2021-03-20,ECHO,Sofala,Beira,Marrocanhe,-19.78493,34.93373,TPT Ineligible,3,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,TPT Completed,200,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,TPT Not Comp,668,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,Recent Active TB TX,5,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,Recent Pos TB Screen,0,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,Actively on TPT,197,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,TX_CURR,868,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,TPT Candidates,466,Mocambique
QTFJClMfP8c,2021-03-20,ECHO,Sofala,Beira,Matadouro PS,-19.72815,34.83613,TPT Ineligible,5,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,TPT Completed,2379,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,TPT Not Comp,7012,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,Recent Active TB TX,565,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,Recent Pos TB Screen,28,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,Actively on TPT,1689,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,TX_CURR,9381,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,TPT Candidates,4720,Mocambique
webeuXrveDi,2021-03-20,ECHO,Sofala,Beira,Munhava CS,-19.81421,34.86314,TPT Ineligible,593,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,TPT Completed,159,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,TPT Not Comp,604,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,Recent Active TB TX,12,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,Recent Pos TB Screen,0,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,Actively on TPT,167,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,TX_CURR,763,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,TPT Candidates,425,Mocambique
KQYxmgQNUSD,2021-03-20,ECHO,Sofala,Beira,Nhangau CS,-19.71608,35.00927,TPT Ineligible,12,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,TPT Completed,4350,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,TPT Not Comp,5988,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,Recent Active TB TX,307,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,Recent Pos TB Screen,33,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,Actively on TPT,1429,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,TX_CURR,10339,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,TPT Candidates,4220,Mocambique
ZKVzRmYkKzQ,2021-03-20,ECHO,Sofala,Beira,Ponta Gêa PS,-19.84078,34.84307,TPT Ineligible,340,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,TPT Completed,531,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,TPT Not Comp,1221,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,Recent Active TB TX,47,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,Recent Pos TB Screen,0,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,Actively on TPT,179,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,TX_CURR,1752,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,TPT Candidates,995,Mocambique
XvVmyn071HT,2021-03-20,ECHO,Sofala,Buzi,Bandua CS,-19.96443,34.41855,TPT Ineligible,47,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,TPT Completed,549,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,TPT Not Comp,327,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,Recent Active TB TX,9,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,Recent Pos TB Screen,0,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,Actively on TPT,158,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,TX_CURR,876,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,TPT Candidates,160,Mocambique
d9VvJxm3TX0,2021-03-20,ECHO,Sofala,Buzi,Bura CS,-20.02568,34.71742,TPT Ineligible,9,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,TPT Completed,1091,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,TPT Not Comp,649,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,Recent Active TB TX,47,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,Recent Pos TB Screen,5,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,Actively on TPT,173,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,TX_CURR,1739,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,TPT Candidates,423,Mocambique
QCY2lUMpt7f,2021-03-20,ECHO,Sofala,Buzi,Buzi Sede HR,-19.88299,34.59275,TPT Ineligible,52,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,TPT Completed,213,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,TPT Not Comp,773,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,Recent Active TB TX,18,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,Recent Pos TB Screen,1,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,Actively on TPT,283,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,TX_CURR,973,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,TPT Candidates,458,Mocambique
EQs1z4T6WiJ,2021-03-20,ECHO,Sofala,Buzi,Guara-Guara PS,-19.87716,34.46864,TPT Ineligible,19,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,TPT Completed,1117,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,TPT Not Comp,1656,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,Recent Active TB TX,123,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,Recent Pos TB Screen,7,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,Actively on TPT,462,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,TX_CURR,2773,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,TPT Candidates,1064,Mocambique
vugElbQMtcL,2021-03-20,ECHO,Sofala,Caia,Caia HD,-17.82842,35.33925,TPT Ineligible,130,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,TPT Completed,462,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,TPT Not Comp,755,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,Recent Active TB TX,93,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,Recent Pos TB Screen,1,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,Actively on TPT,244,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,TX_CURR,1217,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,TPT Candidates,417,Mocambique
XFEHZnnEGkT,2021-03-20,ECHO,Sofala,Caia,Sena CS,-17.44487,35.02877,TPT Ineligible,94,Mocambique
d3thFMLEOGr,2021-03-20,ECHO,Sofala,Cheringoma,Inhaminga CS,-18.41947,35.02709,TPT Completed,375,Mocambique
